,JP001,JP002,JP003,JP004,JP005,JP006,JP007,JP008
1110059E24Rik,10.43804121,10.45193821,10.6488759,10.64864745,10.39696269,10.33652821,10.3614818,10.33857515
1110059G10Rik,9.574985786,9.699359604,9.476976684,9.3154224,8.920032915,9.241587872,8.911400615,9.044925758
1110065P20Rik,10.40152895,10.20222845,10.93640152,10.49241719,9.494703112,9.732467222,9.500207983,9.589106402
1190002N15Rik,11.35560775,11.70545568,11.41560811,11.20950951,11.0735974,11.46995229,11.32066905,11.63184757
1190005I06Rik,8.710779245,8.480489653,8.761353186,8.996939395,10.59592932,10.06402466,9.939837676,9.921525401
1190007I07Rik,8.862250082,8.372345593,8.918297181,8.876583901,8.666410435,8.849330891,8.576231243,8.54473728
1300017J02Rik,6.779501779,6.485472955,6.745388365,6.749137295,6.716763764,6.535176176,6.426630285,6.155519895
1500009C09Rik,8.221148047,10.74340816,8.633366935,8.694700881,12.09351179,10.9119395,9.081962531,11.77851672
1500009L16Rik,9.277725896,9.930234571,9.789516002,9.452124857,8.799034825,9.084930873,9.409951681,9.535591922
1500011B03Rik,13.0505107,13.00402901,13.12652627,12.91168334,12.23538562,12.70856721,12.69031183,12.81442191
1500015O10Rik,6.942837368,6.567018163,6.85259457,7.235950643,8.097576674,8.234662623,8.455961059,8.422172087
1520401A03Rik,6.908355594,6.730787197,6.054741302,6.271135405,5.879159283,6.634398372,5.879159283,6.083882609
1600002K03Rik,7.748404775,7.51980401,7.77159478,7.781585819,7.860317181,7.89817085,7.857496279,7.672821178
1600012H06Rik,10.58299604,10.53431473,10.52031195,10.56109962,11.45639081,11.20054735,10.95868885,10.98791483
1600014C10Rik,10.94770166,10.98056191,10.86340882,10.9143539,10.62754418,10.30433019,10.14244653,10.29828085
1600014C23Rik,5.879159283,6.203074683,6.34217995,6.591165471,6.873233129,6.602267469,6.811684001,6.441395327
1600015I10Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1600029O15Rik,7.876964961,7.819163134,7.673375064,7.50387987,7.50135933,7.988126896,7.816577427,7.75195428
1700001C02Rik,6.084992299,6.571318344,6.058332983,6.172877043,6.362095651,6.063409813,6.651989776,6.640055294
1700001C19Rik,6.214368029,6.169634493,6.419038798,6.629428671,6.064886166,5.879159283,6.179341531,6.11762232
1700001F09Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,6.307018805,5.879159283,5.879159283
1700001J03Rik,6.381940595,6.23256048,6.301010335,6.102869521,6.548070567,6.121644714,6.581725394,6.277324753
1700001J11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700001K19Rik,6.296530603,6.832305892,6.703146564,6.334852908,6.157156762,6.425086411,6.221441604,6.334045155
1700001L19Rik,9.896750606,9.656621138,10.27675419,9.904102473,8.848551341,9.544577621,9.928657979,9.876515748
1700001O22Rik,8.675895371,8.566985577,8.541964253,8.572183168,8.44137542,8.27801131,8.098973158,8.488521596
1700001P01Rik,6.34313593,6.46906286,6.368454862,6.530633107,6.694484382,6.455633352,6.65282656,6.559223451
1700003E16Rik,10.22235129,10.23954821,10.31735857,10.09155947,9.362347345,10.00092004,10.03326051,10.06174048
1700003F12Rik,6.560268446,6.787211224,6.92745656,6.592916433,7.012416192,6.785752852,6.711788776,6.745391919
1700003H04Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700003N22Rik,6.080797444,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700006A11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700007E05Rik,6.230890585,5.879159283,6.176159822,6.052480821,6.392628019,6.068237861,5.879159283,5.879159283
1700007K13Rik,7.813401446,7.618775557,8.002501437,7.939909375,8.176152047,8.053976379,8.059218656,8.017799675
1700008O03Rik,7.519645601,7.256949116,7.675685062,7.706136386,7.286767633,7.411318788,7.29234161,7.469784988
1700008P02Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700009N14Rik,6.164087564,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700010B08Rik,6.28859396,5.879159283,6.051570685,6.221833097,6.076365082,6.142403197,5.879159283,5.879159283
1700010I14Rik,6.967300734,7.072196938,6.947708858,6.850192829,7.24177304,6.987706093,6.848789771,7.131678875
1700010N08Rik,5.879159283,5.879159283,5.879159283,5.879159283,6.151622456,5.879159283,5.879159283,5.879159283
1700011L22Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700011M02Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700012A03Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700012B07Rik,5.879159283,5.879159283,6.030980806,5.879159283,6.13277905,6.280348133,5.879159283,5.879159283
1700012B09Rik,5.879159283,6.560048516,6.318911511,6.052011077,6.210593147,5.879159283,6.725273564,6.68123403
1700012P22Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700013F07Rik,7.412971356,7.340432078,7.630533793,6.807513817,6.566109802,6.650521841,6.763275786,6.84013731
1700013G24Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700013H16Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1700014D04Rik,7.494930904,8.158813793,6.809391772,7.362644352,6.615486701,6.319444193,6.725636596,6.764970045
1700015F17Rik,5.879159283,6.061411496,6.401326124,6.157975929,6.161411245,6.092881367,6.561173931,6.281396017
